"","gender","rural","dem_education_level","dem_has_children","age_group"
"1","male","rural","no","no","40_65"
"2","male","urban","high","yes","40_65"
"3","male","urban",NA,"no","26_39"
"4","male","rural","high","yes","40_65"
"5","female","urban","high","yes","40_65"
"6","female","rural","high","no","26_39"
"7","female","urban","medium","no","26_39"
"8","male","urban","medium","no","40_65"
"9","female","urban","medium","no","26_39"
"10","female","urban","no","yes","14_25"
"11","male","urban","high","no","40_65"
"12","male","urban","medium","yes","40_65"
"13","female","urban","low","no","14_25"
"14","male","rural","medium","yes","40_65"
"15","male","rural","medium","no","26_39"
"16","male","urban","medium","yes","40_65"
"17","male","rural","low","yes","26_39"
"18","female","urban","high","no","26_39"
"19","female","urban","low","no","14_25"
"20","male","rural","medium","yes","26_39"
"21","male","urban","low","yes","26_39"
"22","male","urban","medium","yes","40_65"
"23","female","urban","no","no","14_25"
"24","female","rural",NA,"no","14_25"
"25","male","rural","high","no","26_39"
"26","female","urban","medium","yes","26_39"
"27","male","rural","medium","no","40_65"
"28","male","rural","low","yes","40_65"
"29","female","rural","medium","yes","26_39"
"30","male","rural",NA,"yes","40_65"
"31","male","rural","low","no","14_25"
"32","female","urban","high","no","26_39"
"33","male","urban","medium","no","14_25"
"34","male","urban","high","no","40_65"
"35","male","rural","low","yes","26_39"
"36","female","rural","medium","no","14_25"
"37","female","urban","high","no","40_65"
"38","male","rural","low","no","26_39"
"39","male","rural","low","yes","40_65"
"40","male","urban","high","yes","26_39"
"41","female","rural","low","yes","40_65"
"42","male","urban","medium","no","26_39"
"43","female","rural","low","no","26_39"
"44","female","rural","high","yes","26_39"
"45","male","urban","high","no","40_65"
"46","male","rural","low","no","40_65"
"47","male","urban","high","no","26_39"
"48","female","rural","high","no","40_65"
"49","male","urban","medium","yes","40_65"
"50","male","urban","medium","yes","40_65"
"51","male","urban","high","no","14_25"
"52","female","rural","low","no","14_25"
"53","male","rural",NA,"yes","40_65"
"54","male","rural","low","no","14_25"
"55","male","urban","medium","no","26_39"
"56","female","rural",NA,"yes","40_65"
"57","male","rural","low","no","26_39"
"58","male","urban",NA,"no","26_39"
"59","male","rural","medium","no","14_25"
"60","female","urban","low","no","26_39"
"61","female","rural","high","yes","26_39"
"62","female","rural","low","yes","40_65"
"63","female","rural","low","no","14_25"
"64","male","urban",NA,"no","14_25"
"65","male","urban","low","no","14_25"
"66","female","urban","no","yes","40_65"
"67","female","urban","medium","no","14_25"
"68","female","rural","high","yes","40_65"
"69","male","rural","medium","yes","40_65"
"70","male","urban","low","no","14_25"
"71","male","urban","medium","no","14_25"
"72","male","urban","low","yes","40_65"
"73","male","urban","high","no","26_39"
"74","male","urban","low","no","14_25"
"75","female","urban","medium","no","14_25"
"76","male","urban","no","yes","26_39"
"77","male","urban","medium","yes","40_65"
"78","male","urban",NA,"no","14_25"
"79","female","urban","low","yes","26_39"
"80","female","urban","high","no","14_25"
"81","female","rural","high","no","14_25"
"82","female","rural","low","yes","26_39"
"83","female","urban","medium","yes","26_39"
"84","female","urban","high","no","26_39"
"85","male","rural","low","yes","40_65"
"86","male","urban","low","no","40_65"
"87","male","rural","no","yes","40_65"
"88","female","rural","low","yes","26_39"
"89","female","urban","high","yes","26_39"
"90","male","rural","low","no","14_25"
"91","female","urban","medium","yes","14_25"
"92","female","rural","medium","yes","26_39"
"93","female","urban","low","yes","26_39"
"94","male","rural","high","no","26_39"
"95","male","rural","low","no","14_25"
"96","male","urban",NA,"no","14_25"
"97","male","urban","medium","no","14_25"
"98","female","urban","medium","no","14_25"
"99","female","urban","medium","no","14_25"
"100","female","rural","low","no","14_25"
"101","female","rural","medium","no","26_39"
"102","male","rural","medium","yes","40_65"
"103","male","rural","low","yes","40_65"
"104","female","urban",NA,"yes","26_39"
"105","male","rural","low","yes","26_39"
"106","male","urban","high","no","14_25"
"107","male","rural","low","yes","40_65"
"108","female","rural","low","no","14_25"
"109","male","rural","medium","yes","26_39"
"110","female","urban","low","no","14_25"
"111","female","urban","high","no","26_39"
"112","male","urban",NA,"no","26_39"
"113","male","urban","high","no","26_39"
"114","female","rural","low","no","26_39"
"115","male","urban","high","yes","40_65"
"116","male","rural","medium","no","14_25"
"117","female","rural","medium","yes","26_39"
"118","female","rural","medium","no","26_39"
"119","female","rural","low","yes","26_39"
"120","male","rural","low","no","14_25"
"121","male","rural","high","yes","40_65"
"122","male","rural",NA,"yes","26_39"
"123","male","rural","no","yes","14_25"
"124","male","urban","no","yes","40_65"
"125","male","urban","low","no","14_25"
"126","male","urban","medium","no","26_39"
"127","male","urban",NA,"no","26_39"
"128","male","urban","medium","no","26_39"
"129","male","urban","medium","yes","40_65"
"130","male","rural","medium","yes","26_39"
"131","female","rural","high","yes","26_39"
"132","male","urban","high","no","40_65"
"133","female","urban","medium","yes","40_65"
"134","female","urban","medium","yes","40_65"
"135","female","urban","low","no","40_65"
"136","male","urban","high","yes","40_65"
"137","male","rural","medium","yes","40_65"
"138","female","urban","high","no","40_65"
"139","male","rural","high","no","14_25"
"140","female","rural","high","yes","26_39"
"141","male","urban","low","no","14_25"
"142","female","rural","medium","yes","26_39"
"143","female","urban","high","no","14_25"
"144","female","rural","no","yes","40_65"
"145","male","urban","medium","no","26_39"
"146","male","rural","low","yes","40_65"
"147","female","urban","medium","no","14_25"
"148","female","urban",NA,"yes","40_65"
"149","male","urban","medium","yes","40_65"
"150","male","urban","low","yes","40_65"
"151","female","rural","medium","yes","40_65"
"152","female","urban","high","no","26_39"
"153","female","urban","medium","no","14_25"
"154","female","rural","no","no","40_65"
"155","female","urban","high","no","26_39"
"156","female","urban",NA,"no","14_25"
"157","female","urban","medium","no","26_39"
"158","female","rural","low","yes","40_65"
"159","male","urban","low","yes","26_39"
"160","female","urban","low","no","14_25"
"161","female","rural","high","yes","40_65"
"162","female","rural","low","yes","40_65"
"163","female","rural","no","yes","26_39"
"164","female","rural","no","yes","40_65"
"165","female","urban","low","no","26_39"
"166","female","rural","medium","yes","40_65"
"167","male","urban","high","yes","40_65"
"168","female","rural","medium","no","26_39"
"169","female","urban","high","yes","26_39"
"170","female","urban","medium","no","14_25"
"171","female","urban","high","yes","40_65"
"172","male","urban","medium","no","14_25"
"173","female","rural",NA,"no","14_25"
"174","female","urban","no","no","14_25"
"175","male","urban","low","no","26_39"
"176","male","rural",NA,"yes","40_65"
"177","female","urban","high","yes","26_39"
"178","male","urban",NA,"no","40_65"
"179","male","urban","high","yes","40_65"
"180","female","urban","high","yes","40_65"
"181","male","rural","high","yes","40_65"
"182","male","urban","high","yes","40_65"
"183","male","rural","high","no","40_65"
"184","male","rural","low","yes","40_65"
"185","female","urban","medium","no","14_25"
"186","male","urban","high","no","26_39"
"187","male","rural","medium","no","40_65"
"188","male","rural","high","yes","40_65"
"189","female","rural","low","yes","26_39"
"190","male","urban","medium","no","14_25"
"191","male","urban","low","yes","40_65"
"192","female","urban","medium","no","14_25"
"193","female","urban","high","no","26_39"
"194","female","urban","high","no","14_25"
"195","female","rural",NA,"yes","40_65"
"196","female","urban","medium","no","40_65"
"197","male","rural",NA,"no","40_65"
"198","male","urban","high","yes","26_39"
"199","male","urban","high","yes","40_65"
"200","male","urban","high","no","14_25"
"201","male","rural","medium","yes","26_39"
"202","male","urban","medium","yes","40_65"
"203","male","rural","medium","yes","40_65"
"204","male","rural","low","no","14_25"
"205","female","urban","high","no","26_39"
"206","female","urban","medium","yes","14_25"
"207","male","urban","medium","no","14_25"
"208","male","urban","no","no","14_25"
"209","male","urban","high","yes","26_39"
"210","male","rural","low","yes","40_65"
"211","male","rural","low","yes","40_65"
"212","male","urban","low","no","26_39"
"213","female","urban","medium","no","14_25"
"214","male","urban","medium","no","26_39"
"215","female","rural","high","yes","40_65"
"216","female","urban","high","yes","40_65"
"217","male","urban","medium","no","40_65"
"218","male","urban","high","no","40_65"
"219","female","urban","medium","no","40_65"
"220","male","urban","low","no","26_39"
"221","male","urban","high","no","26_39"
"222","male","urban",NA,"no","14_25"
"223","male","rural","high","yes","14_25"
"224","male","rural","medium","no","14_25"
"225","female","rural","low","yes","40_65"
"226","female","rural","low","yes","40_65"
"227","female","urban","high","no","14_25"
"228","female","urban","high","yes","26_39"
"229","female","urban","medium","no","26_39"
"230","female","urban","medium","yes","40_65"
"231","male","rural","low","yes","40_65"
"232","male","rural","high","yes","14_25"
"233","male","urban","high","yes","40_65"
"234","male","urban","medium","yes","40_65"
"235","male","urban","medium","yes","40_65"
"236","female","urban","low","no","26_39"
"237","female","rural","medium","no","14_25"
"238","female","urban","medium","no","14_25"
"239","male","rural","no","no","26_39"
"240","female","rural","medium","no","40_65"
"241","male","urban","medium","no","26_39"
"242","female","urban",NA,"no","14_25"
"243","male","urban",NA,"no","26_39"
"244","female","urban",NA,"no","40_65"
"245","female","urban","high","no","14_25"
"246","male","urban","medium","yes","40_65"
"247","male","urban","high","yes","14_25"
"248","male","urban","medium","yes","40_65"
"249","male","rural","high","yes","40_65"
"250","male","urban","high","yes","40_65"
"251","male","rural","high","yes","40_65"
"252","female","rural","high","no","14_25"
"253","male","rural","high","no","40_65"
"254","female","urban",NA,"yes","40_65"
"255","female","rural","no","yes","14_25"
"256","male","urban","medium","yes","40_65"
"257","male","urban",NA,"no","14_25"
"258","female","rural","low","yes","40_65"
"259","female","rural","medium","yes","26_39"
"260","female","urban","high","no","26_39"
"261","female","rural","low","yes","26_39"
"262","male","urban","low","no","14_25"
"263","male","urban","high","yes","26_39"
"264","male","urban","low","no","40_65"
"265","male","urban","medium","yes","26_39"
"266","male","urban","low","no","40_65"
"267","male","rural","medium","no","26_39"
"268","male","rural","low","no","26_39"
"269","male","urban","high","yes","40_65"
"270","male","urban","high","no","40_65"
"271","male","urban","low","no","26_39"
"272","male","urban","medium","yes","40_65"
"273","female","rural","high","yes","40_65"
"274","male","rural","high","no","14_25"
"275","female","urban","medium","yes","26_39"
"276","female","urban","medium","no","14_25"
"277","female","rural","low","no","26_39"
"278","female","rural","high","no","40_65"
"279","female","rural","low","yes","40_65"
"280","male","urban","low","no","40_65"
"281","male","urban","low","no","40_65"
"282","male","rural","low","yes","26_39"
"283","male","urban","medium","no","40_65"
"284","female","rural","medium","yes","26_39"
"285","male","urban","low","no","14_25"
"286","male","urban",NA,"no","40_65"
"287","female","rural","medium","yes","40_65"
"288","male","urban","medium","yes","40_65"
"289","male","urban","high","yes","40_65"
"290","female","urban","medium","no","26_39"
"291","male","rural","high","no","40_65"
"292","male","urban","medium","yes","40_65"
"293","female","urban",NA,"yes","14_25"
"294","female","rural","low","no","26_39"
"295","male","rural","medium","no","40_65"
"296","male","urban","medium","yes","40_65"
"297","male","rural","low","no","40_65"
"298","male","urban","high","yes","26_39"
"299","male","urban","high","yes","40_65"
"300","female","rural","medium","yes","40_65"
"301","female","rural","low","yes","14_25"
"302","male","urban","medium","yes","40_65"
"303","male","rural","high","yes","40_65"
"304","female","rural","high","no","14_25"
"305","female","urban","medium","no","26_39"
"306","male","urban","low","yes","26_39"
"307","female","rural","low","yes","26_39"
"308","male","urban","medium","yes","26_39"
"309","female","rural","low","no","14_25"
"310","female","urban","high","yes","26_39"
"311","male","urban","low","yes","40_65"
"312","male","rural","low","yes","40_65"
"313","male","urban","medium","no","40_65"
"314","female","urban","high","yes","40_65"
"315","male","urban","high","yes","40_65"
"316","female","urban","medium","no","14_25"
"317","female","urban","high","no","40_65"
"318","male","urban","medium","no","14_25"
"319","male","rural","medium","yes","40_65"
"320","male","rural","low","no","14_25"
"321","male","urban",NA,"yes","40_65"
"322","female","rural","no","no","26_39"
"323","male","urban","medium","yes","40_65"
"324","male","urban","medium","no","40_65"
"325","female","urban",NA,"yes","40_65"
"326","female","rural","medium","yes","40_65"
"327","male","urban","low","no","26_39"
"328","female","urban","high","no","14_25"
"329","female","urban","medium","yes","40_65"
"330","female","urban","medium","yes","40_65"
"331","male","urban","high","no","26_39"
"332","male","urban","medium","yes","26_39"
"333","female","urban","medium","yes","26_39"
"334","male","urban","high","yes","26_39"
"335","male","urban","medium","yes","40_65"
"336","male","urban","high","yes","40_65"
"337","male","urban","high","no","14_25"
"338","female","urban","high","no","14_25"
"339","male","urban","high","yes","40_65"
"340","male","urban","high","no","26_39"
"341","female","urban","high","no","26_39"
"342","female","urban","high","no","26_39"
"343","female","urban","medium","no","26_39"
"344","female","urban","medium","yes","40_65"
"345","male","urban","medium","no","26_39"
"346","female","urban","high","yes","40_65"
"347","female","urban","high","yes","40_65"
"348","male","rural","medium","no","26_39"
"349","male","urban","medium","yes","40_65"
"350","female","urban","high","yes","40_65"
"351","female","urban","medium","no","14_25"
"352","male","urban","medium","yes","40_65"
"353","male","urban","medium","yes","14_25"
"354","female","urban","high","no","14_25"
"355","male","urban","high","no","26_39"
"356","female","urban","medium","yes","40_65"
"357","male","urban","medium","yes","14_25"
"358","male","urban","high","yes","40_65"
"359","male","urban","medium","no","26_39"
"360","female","urban","medium","yes","26_39"
"361","male","urban","high","yes","26_39"
"362","female","urban","medium","no","26_39"
"363","male","urban","medium","no","40_65"
"364","male","urban","medium","yes","40_65"
"365","female","urban","medium","yes","26_39"
"366","female","urban","low","yes","26_39"
"367","male","urban","high","yes","26_39"
"368","male","urban","medium","no","14_25"
"369","male","urban","high","yes","40_65"
"370","male","urban","high","yes","26_39"
"371","female","urban","medium","no","14_25"
"372","female","urban","high","yes","40_65"
"373","male","urban","medium","no","40_65"
"374","female","urban","medium","yes","40_65"
"375","female","urban","medium","yes","40_65"
"376","female","urban","high","no","14_25"
"377","female","urban","high","yes","40_65"
"378","male","urban",NA,"yes","26_39"
"379","male","urban","high","no","26_39"
"380","male","urban","high","yes","40_65"
"381","male","urban","medium","no","14_25"
"382","male","urban","medium","yes","40_65"
"383","male","urban","medium","yes","40_65"
"384","male","urban","high","yes","26_39"
"385","male","urban","medium","yes","40_65"
"386","female","rural","low","yes","40_65"
"387","female","urban","high","no","26_39"
